Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002482;;75015;13;2;CPCU;TRAVAUX_OUVRAGE;;rue de la Convention;du 54 au 56;2023-04-03;2023-06-16;RESTREINTE;Maintien de 3,00 m dans chaque sens;;2;;"{""coordinates"": [[[2.2820328445477465, 48.84371501717107], [2.2820920633031037, 48.84373440859408], [2.2825422282719794, 48.84353428992258], [2.2825032379012384, 48.84350327968509], [2.282031041970642, 48.8437150063528], [2.2820328445477465, 48.84371501717107]]], ""type"": ""Polygon""}";48.84362091930238, 2.2822935477969173
CP002268;534110;75015;13;2;CPCU;ENTRETIEN_RESEAU;Modernisation Chambre;bd Pasteur;Au N° 52;2022-01-31;2023-02-22;RESTREINTE;;2;2;;"{""coordinates"": [[[2.313657625860738, 48.84122930170467], [2.3136802893204798, 48.841287731417765], [2.313696182835892, 48.84131280792319], [2.3138767494813437, 48.84115203226221], [2.313790782043143, 48.84110989664495], [2.313659397022841, 48.8412316915925], [2.313657625860738, 48.84122930170467]]], ""type"": ""Polygon""}";48.841203375944964, 2.313757003270671
CP002510;;75007;12;1;STV;REFECTION_CHAUSSEE;Travaux de désamiantage;avenue de Suffren;Entre le N° 66 et rue de la Fédération;2023-07-17;2023-08-04;SENS_UNIQUE;"En 2 phases.
Mise à sens unique Depuis Jean Carriès vers Quai Branly
Mise en impasse de la rue de la Fédération entre rue de Presles et l'av. de Suffren";1;2;;"{""coordinates"": [[[2.297715907548947, 48.85312487800575], [2.2978327329176347, 48.85320877235337], [2.2984606379121693, 48.85279372906904], [2.298347771784191, 48.852717911386605], [2.297707773350449, 48.853124830263106], [2.297715907548947, 48.85312487800575]]], ""type"": ""Polygon""}";48.852964152327495, 2.298082981182748
CP002021;35429;75015;13;2;GRDF;ENTRETIEN_RESEAU;Renouvellement du réseau Gaz;Rue de La croix Nivert;Au N°148;2022-09-16;2022-12-16;RESTREINTE;Traversée de chaussée en 3 phases, avec maintien d'une voie de 3,00m dans chaque sens pour chaque phase de travaux.;2;2;;"{""coordinates"": [[[[2.2915111389838203, 48.841087452407784], [2.291592971736566, 48.841128130772134], [2.2916773270034434, 48.84106130887654], [2.2915913758001696, 48.84101939472699], [2.2915111389838203, 48.841087452407784]]], [[[2.291592971736566, 48.841128130772134], [2.291592050287187, 48.84112886010034], [2.29159349956246, 48.84112839291638], [2.291592971736566, 48.841128130772134]]]], ""type"": ""MultiPolygon""}";48.841073863344576, 2.2915935419637385
CP002040;426349;75008;9;3;SCI 74 CHAMPS ELYSEES;REHABILITATION_IMMEUBLE;;57 rue de Ponthieu;;2021-06-22;2023-04-30;RESTREINTE;Maintien d'une file de circulation;2;4;;"{""coordinates"": [[[2.3051116917113017, 48.872075843470256], [2.3051237649448435, 48.872090190631106], [2.3052541909453397, 48.87204764074062], [2.305269074020214, 48.87206771502464], [2.30546681585482, 48.87200842309781], [2.305469602510664, 48.871961800228114], [2.3054625786311185, 48.87194748239931], [2.3050981571278077, 48.872062915981154], [2.3051116917113017, 48.872075843470256]]], ""type"": ""Polygon""}";48.872021313673976, 2.305312573192205
CP002425;761044;75007;12;1;DVD - MV;REAMENAGEMENT_VOIRIE;Aménagement  piste cyclable;Boulevard des Invalides;Entre les rues de Grenelle et Varenne;2022-11-21;2023-04-05;RESTREINTE;Travaux principalement dans la contre-allée avec des traversées piétonnes phasées au 17 bd Invalides et 61 rue Varenne;2;2;;"{""coordinates"": [[[2.3153189688615576, 48.8578919350281], [2.315129402556937, 48.85622132208291], [2.314771087602544, 48.85624879657782], [2.314957244843304, 48.857868391847845], [2.3153189688615576, 48.8578919350281]]], ""type"": ""Polygon""}";48.857056686557115, 2.3150450011004136
CP002516;;75008;9;1;SAGP;REAMENAGEMENT_VOIRIE;;Avenue du Général Eisenhower;"Entre av. de Selves et le N°3
Phase 3";2023-08-08;2023-09-21;IMPASSE;Mise en impasse entre Selves et F.D. Roosevelt et Mise en impasse entre le N°3 et Winston Churchill;2;2;;"{""coordinates"": [[[2.312621281100819, 48.86739993738277], [2.3126114339924744, 48.86732611555085], [2.312258272076218, 48.86730267151392], [2.311837465536049, 48.86721221033693], [2.3117493875093014, 48.86719028774628], [2.311751925464223, 48.86727120664687], [2.3121672593016442, 48.8673663951081], [2.312314830284158, 48.86738984906216], [2.312502263331858, 48.86739925379097], [2.312619446299445, 48.86740230651538], [2.312621281100819, 48.86739993738277]]], ""type"": ""Polygon""}";48.86731592755759, 2.312183462466626
CP000442;;75008;9;2;EOLE;TRAVAUX_OUVRAGE;Prolongement du RER E - Puits Pasquier;Bd Haussmann;entre rue de l'Arcade et rue d'Anjou;2017-07-01;2023-01-13;RESTREINTE;Neutralisation du couloir bus. Maintien des cheminements piétons et d'une file sur la rue Pasquier. Rue Pasquier fermée du 24/07/17 au 25/10/17;2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv opé CPCU N01C - Haussmann 08ème Edt°2.pdf;"{""coordinates"": [[[2.322881182230636, 48.87440292430693], [2.322884693425123, 48.874445889427435], [2.3238426347286776, 48.874314415789115], [2.3238628385118822, 48.874325266224574], [2.3238573767859667, 48.87443259851544], [2.3238899269843416, 48.874432782368594], [2.323899841312721, 48.87429595080958], [2.3239015435285917, 48.87426848380335], [2.3239912652976913, 48.87425288605297], [2.3244723899366377, 48.87417776342435], [2.3244594209450606, 48.87413269627761], [2.3228778817544082, 48.8743438559033], [2.322881182230636, 48.87440292430693]]], ""type"": ""Polygon""}";48.87429944518452, 2.323575149071294
CP002113;423774;75007;12;3;SAS 40 rue des Sts Pères;REHABILITATION_IMMEUBLE;;40 rue des Sts-Pères;juste avant le bd St Germain;2021-07-12;2023-05-31;RESTREINTE;Maintien d'une file de circulation.;2;4;;"{""coordinates"": [[[2.3305087410876553, 48.85470384122318], [2.3305972716671617, 48.8548958307216], [2.3306558083790203, 48.85488368952832], [2.330574247997891, 48.85468380316092], [2.3305087410876553, 48.85470384122318]]], ""type"": ""Polygon""}";48.85478929337244, 2.3305830937444014
CP002512;811445;75015;13;3;TS DIAMOND SCI;REHABILITATION_IMMEUBLE;Réhabilitation de la Tour Cristal;Quai André Citroën;Au niveau du 5 - 11 Quai André Citroën et du 1 - 5 rue de l'ingénieur Keller;2023-06-12;2025-12-31;RESTREINTE;Traversée piétonne obligatoire et provisoire au 1 rue de l'ingénieur Keller et dévié au 13 quai André Citroën car fermé au n°11.;2;2;;"{""coordinates"": [[[2.281629017580763, 48.84816772115835], [2.2809547819492315, 48.84842899342419], [2.280955960900329, 48.848474212476575], [2.2813863093462023, 48.84877305508172], [2.2814353746320806, 48.84874479495246], [2.281112215455314, 48.84851679384698], [2.2811186070266922, 48.84844544517538], [2.2816499602041813, 48.84821781831716], [2.281629017580763, 48.84816772115835]]], ""type"": ""Polygon""}";48.84843637487575, 2.281252958764124
CP002526;819694;75015;13;3;Institut Pasteur;REHABILITATION_IMMEUBLE;;rue de Vaugirard;Au 213;2023-07-17;2024-07-17;RESTREINTE;Neutralisation de la voie Bus;2;2;;"{""coordinates"": [[[2.3095091360573914, 48.84190792832706], [2.3095091202947704, 48.841909118098826], [2.3095146066558643, 48.841903201352004], [2.3091699309781957, 48.841796509741926], [2.3091565893256156, 48.841851162789425], [2.3094833031716817, 48.84195299130053], [2.3095091360573914, 48.84190792832706]]], ""type"": ""Polygon""}";48.84187570400312, 2.3093310364382162
CP002411;;75007;12;2;Fraicheur de Paris;CREATION_RESEAUX;Raccordement client et extension de réseau;rue de Constantine;entre rue St Dominique et rue de l'Université;2022-11-21;2023-01-23;BARRAGE_TOTAL;Fermeture du tronçon à la circulation générale. Maintien de la piste cyclable;2;2;;"{""coordinates"": [[[2.314866437691376, 48.86090307243759], [2.314992778498425, 48.860894277850534], [2.3148926746963876, 48.86000494663854], [2.314780870731935, 48.860005496352855], [2.3148667622418446, 48.86074126570166], [2.314884907528557, 48.860869864407746], [2.314866453337404, 48.86090188268543], [2.314866437691376, 48.86090307243759]]], ""type"": ""Polygon""}";48.86044952159968, 2.314887587217051
CP002485;816344;75008;9;1;Fraicheur de Paris;RACCORDEMENT_RESEAU;Raccordement client;rue du Faubourg Saint Honoré;Entre rue de la Néva et Place des Ternes;2023-05-02;2023-06-19;SENS_UNIQUE;depuis Place des Ternes vers avenue Hoche;1;2;;"{""coordinates"": [[[2.3002163543815954, 48.87724352294222], [2.3001395839927525, 48.87720281251899], [2.2983951844510897, 48.877707945597656], [2.298516280359523, 48.87778112580276], [2.3000812476756107, 48.87730446644164], [2.300081464084885, 48.877288363236126], [2.3002163543815954, 48.87724352294222]]], ""type"": ""Polygon""}";48.87750229964593, 2.2992695806976338
CP002523;822562;75007;12;1;STV - S;REFECTION_CHAUSSEE;Désamiantage + tapis;Quai Anatole France;Entre pont Royal et rue de la Légion d'Honneur;2023-07-17;2023-08-08;BARRAGE_TOTAL;"Du 17 au 21/07; Désamiantage Enrobé. Fermeture Quai A. France depuis Pt Royal.
Du 24/07 au 07/08, Reprise  fondation béton. Nuit du 07 au 08/08, pose nouveau revêtement chaussée. Fermeture Quai A. France jusqu'à Solférino. 
Le 08/08, marquage à neuf.";1;2;;"{""coordinates"": [[[2.3295543959012948, 48.85941430983356], [2.329321643482476, 48.8594827925474], [2.3292773496379744, 48.859447650375444], [2.329171244922344, 48.859473896760186], [2.3255067854783813, 48.86067457316191], [2.3255665147965994, 48.86077422145737], [2.3276453659768914, 48.86013636337257], [2.328090853045698, 48.859975134183514], [2.329230290136217, 48.859627222624155], [2.3295774891449614, 48.85951643550773], [2.3295543959012948, 48.85941430983356]]], ""type"": ""Polygon""}";48.86006303615076, 2.3276089231134742
CP000938;;75008;9;2;SNCF;CREATION_RESEAUX;Installation d'une base vie, pour les travaux Eole .;avenue Friedland;En vis à vis du n°15 au n° 19;2019-01-08;2022-12-31;RESTREINTE;Report de la circulation générale dans la contre-allée. Mise à sens unique de la rue Beaujon depuis la rue Balzac vers et jusqu'à l'avenue Friedland.;1;2;;"{""coordinates"": [[[2.3022762415128253, 48.87455169151426], [2.3028057592928275, 48.87461198924992], [2.303134645957697, 48.87456474363321], [2.302375006497757, 48.87446906007543], [2.3022762415128253, 48.87455169151426]]], ""type"": ""Polygon""}";48.87454675024232, 2.3026503044556415
CP002511;;75008;9;2;;RACCORDEMENT_RESEAU;Raccordement client;avenue Hoche;du 9 au 14;2023-06-26;2023-08-18;RESTREINTE;"Travaux par phases.
Maintien d'une voie dans chaque sens.";2;2;;"{""coordinates"": [[[2.30366442494139, 48.877183026074995], [2.3034563567009743, 48.87709567689248], [2.3032798687054346, 48.87739827484054], [2.3034521774299086, 48.87746209727839], [2.303663703718136, 48.877183021879766], [2.30366442494139, 48.877183026074995]]], ""type"": ""Polygon""}";48.877279430502405, 2.3034660863257583
CP002341;524191;75008;9;3;Groupama;REHABILITATION_IMMEUBLE;Travaux de restructuration du bâtiment;rue François 1er;au n° 21;2022-06-20;2024-05-31;RESTREINTE;Largeur chaussée circulée : 3.50m minimum avec passage en lice du n° 19 au 23;2;2;;"{""coordinates"": [[[2.3053115309504166, 48.86760573280608], [2.305248644751633, 48.86756110913281], [2.305049327349413, 48.86768559073597], [2.3050636326585967, 48.86769471582878], [2.3051101720714704, 48.86766690753373], [2.305156639071163, 48.867698587888626], [2.3053115309504166, 48.86760573280608]]], ""type"": ""Polygon""}";48.8676330859472, 2.3051956892887357
